Date,Open,High,Low,Close
2025-03-14,0.92100,0.92140,0.92070,0.92080
2025-03-13,0.91810,0.92370,0.91740,0.92110
2025-03-12,0.91620,0.91910,0.91470,0.91820
2025-03-11,0.92260,0.92280,0.91320,0.91620
2025-03-10,0.92240,0.92520,0.91950,0.92260
2025-03-07,0.92660,0.92730,0.91830,0.92280
2025-03-06,0.92660,0.92840,0.92140,0.92700
2025-03-05,0.94120,0.94290,0.92600,0.92660
2025-03-04,0.95300,0.95470,0.94070,0.94080
2025-03-03,0.96100,0.96220,0.95220,0.95340
2025-02-28,0.96140,0.96500,0.95940,0.96370
2025-02-27,0.95350,0.96150,0.95280,0.96140
2025-02-26,0.95100,0.95440,0.94990,0.95350
2025-02-25,0.95460,0.95600,0.95040,0.95080
2025-02-24,0.95500,0.95640,0.94960,0.95500
2025-02-21,0.95230,0.95670,0.95170,0.95550
2025-02-20,0.95880,0.95950,0.95180,0.95200
2025-02-19,0.95710,0.96120,0.95560,0.95910
2025-02-18,0.95440,0.95790,0.95300,0.95710
2025-02-17,0.95330,0.95510,0.95160,0.95360
2025-02-14,0.95540,0.95690,0.95090,0.95280
2025-02-13,0.96290,0.96330,0.95520,0.95540
2025-02-12,0.96270,0.96890,0.95860,0.96290
2025-02-11,0.97010,0.97130,0.96400,0.96490
2025-02-10,0.97100,0.97140,0.96730,0.97000
2025-02-07,0.96270,0.96990,0.96130,0.96790
2025-02-06,0.96100,0.96550,0.96070,0.96290
2025-02-05,0.96370,0.96400,0.95780,0.96110
2025-02-04,0.96600,0.97280,0.96250,0.96330
2025-02-03,0.97720,0.97890,0.96600,0.96660
2025-01-31,0.96180,0.96580,0.95830,0.96500
2025-01-30,0.95960,0.96240,0.95540,0.96200
2025-01-29,0.95870,0.96280,0.95730,0.95960
2025-01-28,0.95290,0.95990,0.95270,0.95850
2025-01-27,0.95370,0.95630,0.94920,0.95290
2025-01-24,0.96010,0.96010,0.95030,0.95250
2025-01-23,0.95970,0.96360,0.95780,0.95990
2025-01-22,0.95840,0.96170,0.95610,0.96040
2025-01-21,0.96000,0.96660,0.95820,0.95850
2025-01-20,0.97290,0.97370,0.95830,0.95970
2025-01-17,0.97090,0.97390,0.96780,0.97350
2025-01-16,0.97090,0.97400,0.96920,0.97040
2025-01-15,0.97020,0.97370,0.96600,0.97160
2025-01-14,0.97640,0.97650,0.96980,0.96990
2025-01-13,0.97680,0.98210,0.97540,0.97610
2025-01-10,0.97020,0.97820,0.96950,0.97580
2025-01-09,0.96920,0.97200,0.96860,0.97070
2025-01-08,0.96650,0.97290,0.96520,0.96890
2025-01-07,0.96220,0.96680,0.95820,0.96680
2025-01-06,0.97020,0.97100,0.95810,0.96220
2025-01-03,0.97410,0.97430,0.96970,0.96980
2025-01-02,0.96540,0.97680,0.96360,0.97370
2025-01-01,0.96630,0.96640,0.96470,0.96540
2024-12-31,0.96050,0.96650,0.95900,0.96560
2024-12-30,0.95870,0.96360,0.95600,0.96070
2024-12-27,0.95900,0.96070,0.95730,0.95890
2024-12-26,0.96020,0.96210,0.95850,0.95920
2024-12-25,0.96210,0.96220,0.95990,0.96120
2024-12-24,0.96060,0.96280,0.96040,0.96140
2024-12-23,0.95840,0.96270,0.95690,0.96070
2024-12-20,0.96500,0.96640,0.95700,0.95860
2024-12-19,0.96560,0.96650,0.95920,0.96470
2024-12-18,0.95290,0.96620,0.95100,0.96600
2024-12-17,0.95100,0.95400,0.94930,0.95290
2024-12-16,0.95330,0.95420,0.95010,0.95110
2024-12-13,0.95500,0.95630,0.95020,0.95180
2024-12-12,0.95250,0.95530,0.94940,0.95520
2024-12-11,0.94960,0.95390,0.94860,0.95250
2024-12-10,0.94730,0.95220,0.94600,0.94970
2024-12-09,0.94690,0.94920,0.94370,0.94730
2024-12-06,0.94430,0.94830,0.94080,0.94610
2024-12-05,0.95100,0.95140,0.94410,0.94420
2024-12-04,0.95120,0.95450,0.94830,0.95120
2024-12-03,0.95240,0.95380,0.94910,0.95130
2024-12-02,0.94570,0.95560,0.94540,0.95220
2024-11-29,0.94720,0.94830,0.94360,0.94510
2024-11-28,0.94630,0.94960,0.94580,0.94730
2024-11-27,0.95310,0.95450,0.94430,0.94610
2024-11-26,0.95250,0.95870,0.94810,0.95310
2024-11-25,0.95410,0.95670,0.94940,0.95250
2024-11-22,0.95450,0.96690,0.95240,0.95970
2024-11-21,0.94830,0.95550,0.94720,0.95450
2024-11-20,0.94370,0.95140,0.94230,0.94820
2024-11-19,0.94300,0.94970,0.94290,0.94350
2024-11-18,0.94900,0.94950,0.94250,0.94330
2024-11-15,0.94930,0.95050,0.94420,0.94860
2024-11-14,0.94630,0.95210,0.94490,0.94950
2024-11-13,0.94140,0.94700,0.93860,0.94640
2024-11-12,0.93830,0.94360,0.93740,0.94110
2024-11-11,0.93330,0.94030,0.93190,0.93830
2024-11-08,0.92540,0.93540,0.92510,0.93260
2024-11-07,0.93160,0.93320,0.92340,0.92540
2024-11-06,0.91460,0.93580,0.91410,0.93180
2024-11-05,0.91900,0.91950,0.91410,0.91470
2024-11-04,0.91890,0.91970,0.91600,0.91900
2024-11-01,0.91870,0.92300,0.91680,0.92220
2024-10-31,0.92080,0.92190,0.91820,0.91860
2024-10-30,0.92430,0.92480,0.91960,0.92090
2024-10-29,0.92450,0.92830,0.92340,0.92450
2024-10-28,0.92680,0.92720,0.92340,0.92450
