transaction_id,timestamp,asset_type,asset_name,amount,price,description
TX2025-03-13 19:59:00,2025-03-13 19:59:00,stock,AAPL,210.2,210.25,Stock trade for AAPL at 2025-03-13 19:59:00
TX2025-03-13 19:58:00,2025-03-13 19:58:00,stock,AAPL,210.25,210.3365,Stock trade for AAPL at 2025-03-13 19:58:00
TX2025-03-13 19:57:00,2025-03-13 19:57:00,stock,AAPL,210.34,210.34,Stock trade for AAPL at 2025-03-13 19:57:00
TX2025-03-13 19:56:00,2025-03-13 19:56:00,stock,AAPL,210.21,210.25,Stock trade for AAPL at 2025-03-13 19:56:00
TX2025-03-13 19:55:00,2025-03-13 19:55:00,stock,AAPL,210.29,210.3,Stock trade for AAPL at 2025-03-13 19:55:00
TX2025-03-13 19:54:00,2025-03-13 19:54:00,stock,AAPL,210.2999,210.32,Stock trade for AAPL at 2025-03-13 19:54:00
TX2025-03-13 19:53:00,2025-03-13 19:53:00,stock,AAPL,210.35,210.28,Stock trade for AAPL at 2025-03-13 19:53:00
TX2025-03-13 19:52:00,2025-03-13 19:52:00,stock,AAPL,210.28,210.3,Stock trade for AAPL at 2025-03-13 19:52:00
TX2025-03-13 19:51:00,2025-03-13 19:51:00,stock,AAPL,210.25,210.25,Stock trade for AAPL at 2025-03-13 19:51:00
TX2025-03-13 19:50:00,2025-03-13 19:50:00,stock,AAPL,210.15,210.2783,Stock trade for AAPL at 2025-03-13 19:50:00
TX2025-03-13 19:49:00,2025-03-13 19:49:00,stock,AAPL,210.2989,210.3099,Stock trade for AAPL at 2025-03-13 19:49:00
TX2025-03-13 19:48:00,2025-03-13 19:48:00,stock,AAPL,210.31,210.15,Stock trade for AAPL at 2025-03-13 19:48:00
TX2025-03-13 19:47:00,2025-03-13 19:47:00,stock,AAPL,210.12,210.14,Stock trade for AAPL at 2025-03-13 19:47:00
TX2025-03-13 19:46:00,2025-03-13 19:46:00,stock,AAPL,210.0572,210.09,Stock trade for AAPL at 2025-03-13 19:46:00
TX2025-03-13 19:45:00,2025-03-13 19:45:00,stock,AAPL,210.1,210.15,Stock trade for AAPL at 2025-03-13 19:45:00
TX2025-03-13 19:44:00,2025-03-13 19:44:00,stock,AAPL,210.1017,210.15,Stock trade for AAPL at 2025-03-13 19:44:00
TX2025-03-13 19:43:00,2025-03-13 19:43:00,stock,AAPL,210.1467,210.25,Stock trade for AAPL at 2025-03-13 19:43:00
TX2025-03-13 19:42:00,2025-03-13 19:42:00,stock,AAPL,210.02,210.24,Stock trade for AAPL at 2025-03-13 19:42:00
TX2025-03-13 19:41:00,2025-03-13 19:41:00,stock,AAPL,210.02,210.25,Stock trade for AAPL at 2025-03-13 19:41:00
TX2025-03-13 19:40:00,2025-03-13 19:40:00,stock,AAPL,210.25,210.0679,Stock trade for AAPL at 2025-03-13 19:40:00
